batch,code,size,api_code,api_batch,smcc_batch,lactose_batch,starch_batch,api_content,lactose_water,lactose_sieve0045,lactose_sieve015,lactose_sieve025,smcc_water,smcc_td,smcc_bd,smcc_ps01,smcc_ps05,smcc_ps09,starch_ph,starch_water,tbl_min_thickness,tbl_max_thickness,fct_min_thickness,fct_max_thickness,tbl_min_weight,tbl_max_weight,tbl_rsd_weight,fct_rsd_weight,tbl_min_hardness,tbl_max_hardness,tbl_av_hardness,fct_min_hardness,fct_max_hardness,fct_av_hardness,tbl_max_diameter,fct_max_diameter,tbl_yield,batch_yield,dissolution_av,dissolution_min,resodual_solvent,impurities_total,impurity_o,impurity_l,tbl_speed_mean,tbl_speed_change,tbl_speed_0_duration,total_waste,startup_waste,fom_mean,fom_change,SREL_startup_mean,SREL_production_mean,SREL_production_max,main_CompForce mean,main_CompForce_sd,main_CompForce_median,pre_CompForce_mean,tbl_fill_mean,tbl_fill_sd,cyl_height_mean,stiffness_mean,stiffness_max,stiffness_min,ejection_mean,ejection_max,ejection_min,Startup_tbl_fill_maxDifference,Startup_main_CompForce_mean,Startup_tbl_fill_mean,Drug release average (%),Drug release min (%),Residual solvent,Total impurities,Impurity O,Impurity L,impurities_scaled,tbl_tensile,Drug release average
919,17,960000,3,234,17,19,15,94.3,0.0495,19.058243725829524,50,81,4.644,0.45,0.32,34.314,121.223,255.451,4.4,1.787,3.9,4.0,4.0,4.1,220.0,228.0,0.78,0.87,44.0,65.0,53,66.64,88.2,74.48,8.1,8.1,99.147,99.053,89.0,83,0.03,0.06,0.05,0.05,119.9944041,1.25,27.5,511.875,4903,80.0,11,6.30625,3.233935394,6.3,6.779989076116328,0.073510132,6.1,0.0,6.267683223,0.042092782,1.698579368,209.3199027,257,190,165.7526919,181,156,0.33,6.65,6.139375,89.0,83.0,0.03,0.06,0.05,0.05,0.04347826086956519,2.4,99.7628236243233
920,17,960000,3,235,17,19,15,94.3,0.0495,18.930062093408186,50,81,4.644,0.45,0.32,34.314,121.223,255.451,4.4,1.787,3.9,3.9,4.0,4.1,221.0,230.0,0.79,0.83,43.0,66.0,54,68.6,82.32,76.44,8.1,8.1,99.057,99.432,88.5,84,0.02,0.11,0.05,0.05,119.9972945,1.041666667,32.91666667,247.8125,2350,79.97850208,8,5.590909091,3.50831883,6.5,7.137639608084039,0.072802866,6.4,0.0,6.345127045,0.037076197,1.68,212.1388792,261,165,172.7281587,266,80,0.24,6.14,6.21,88.5,84.0,0.02,0.11,0.05,0.05,0.26086956521739124,2.196745941576713,102.7
921,17,960000,3,235,17,19,15,94.3,0.0495,18.350576774453955,50,81,4.644,0.45,0.32,34.314,121.223,255.451,4.4,1.787,3.6,3.7,4.0,4.1,223.0,232.0,0.84,0.9,44.0,70.0,55,66.64,90.16,80.36,8.1,8.2,99.1,99.006,93.67,91,0.02,0.11,0.05,0.05,119.9594866,1.666666667,85.20833333,542.6041667,2777,80.0,7,6.6,3.607767328,7.2,7.204829422713199,0.082867466,6.5,0.0,6.376541275,0.039613793,1.68,213.0926506,257,167,175.6203413,253,104,0.26,6.425,6.163333333,93.67,91.0,0.02,0.11,0.05,0.05,0.26086956521739124,2.128405879007278,102.44515941872116
922,17,960000,3,235,17,19,15,94.3,0.0495,18.46845715473551,50,81,4.644,0.45,0.32,34.314,121.223,255.451,4.4,1.787,3.7,3.8,4.1,4.1,223.0,231.0,1.13,1.02,35.0,60.0,49,62.72,78.4,68.6,8.1,8.2,98.432,98.059,88.17,86,0.04,0.12,0.05,0.05,119.9933194,2.395833333,88.64583333,1264.791667,7522,79.95584145,14,5.792307692,3.954561404,7.7,7.104824717828602,0.357341502,6.3,0.058827659,6.400975781,0.068827172,1.71986662,221.8206388,321,194,192.0628291,268,160,0.16,6.2,6.222,88.17,86.0,0.04,0.12,0.05,0.05,0.30434782608695643,1.357256813472433,102.7
923,17,960000,3,235,17,19,15,94.3,0.0495,18.771219171387305,50,81,4.644,0.45,0.32,34.314,121.223,255.451,4.4,1.787,4.1,4.2,4.0,4.1,221.0,229.0,0.98,0.96,39.0,61.0,50,62.72,78.4,71.54,8.1,8.2,99.24,98.958,88.67,83,0.06,0.05,0.05,0.05,119.9744901,1.875,30.72916667,724.5833333,6923,79.97823082,14,5.92,4.296793308,7.9,6.523666433582633,0.082271016,6.4,0.015719763,6.406768909,0.038502059,1.65,228.9714186,292,209,193.1373301,211,175,0.45,6.475,6.2425,88.67,83.0,0.06,0.05,0.05,0.05,0.0,2.168655294667728,102.13894380681474
924,17,960000,3,235,17,19,15,94.3,0.0495,18.70885847891798,50,81,4.644,0.45,0.32,34.314,121.223,255.451,4.4,1.787,4.1,4.2,4.0,4.1,222.0,231.0,0.97,1.04,45.0,74.0,58,76.44,90.16,80.36,8.1,8.2,98.957,98.864,89.67,83,0.06,0.05,0.05,0.05,119.995464,1.041666667,37.08333333,546.4583333,5186,79.97853929,8,6.384210526,4.338745645,7.3,6.29816901821505,0.087798631,6.4,0.0,6.474299652,0.04352434,1.672432056,227.8585366,269,206,182.3961672,196,171,0.17,6.088888889,6.283333333,89.67,83.0,0.06,0.05,0.05,0.05,0.0,2.4,102.7
925,17,960000,3,236,17,19,15,94.2,0.0495,19.25963931817755,50,81,4.644,0.45,0.32,34.314,121.223,255.451,4.4,1.787,3.7,3.9,4.0,4.1,220.0,232.0,1.48,1.34,38.0,71.0,51,58.8,79.38,71.54,8.1,8.1,99.102,99.29,88.5,85,0.04,0.05,0.05,0.05,119.9476668,1.041666667,293.6458333,635.625,6043,79.95682211,11,8.404166667,4.848902821,8.3,6.573804786546533,0.079155158,6.2,0.0,6.5351341,0.067474923,1.736663184,208.6830373,294,189,180.287008,197,169,0.3,6.222727273,6.165909091,88.5,85.0,0.04,0.05,0.05,0.05,0.0,2.4,102.7
926,17,960000,3,236,17,19,15,94.2,0.0495,18.76440726133353,50,81,4.644,0.45,0.32,34.314,121.223,255.451,4.4,1.787,3.9,4.1,4.0,4.2,221.0,229.0,1.24,0.92,34.0,66.0,46,56.84,74.48,63.7,8.1,8.1,98.864,98.864,88.33,83,0.05,0.05,0.05,0.05,119.9475302,1.458333333,59.0625,544.5833333,2900,80.0,6,4.872727273,5.137864078,8.9,6.45148859232742,0.510021127,5.1,0.0,6.469133148,0.177299699,1.813571429,213.868932,251,195,171.4472954,195,154,0.28,6.645454545,6.257272727,88.33,83.0,0.05,0.05,0.05,0.05,0.0,2.4,102.02225159633605
935,17,960000,3,239,17,20,16,94.3,0.05,18.96983957201803,51,83,4.644,0.45,0.32,34.314,121.223,255.451,4.5,2.463,3.8,3.9,4.0,4.0,224.0,230.0,0.74,0.74,47.0,71.0,61,74.48,84.28,79.38,8.0,8.1,98.718,98.438,87.33,82,0.06,0.07,0.05,0.05,119.9644553,1.770833333,44.16666667,736.875,7048,79.97521815,18,3.257692308,2.186861571,6.3,6.859860125305639,0.11735494,7.5,0.0,6.196090173,0.094657502,1.679767524,68.45332864,78,62,210.5864741,230,189,0.42,5.832,5.9488,87.33,82.0,0.06,0.07,0.05,0.05,0.08695652173913043,2.302060290947527,101.956574552112
936,17,960000,3,239,17,20,16,94.3,0.05,19.212966693321555,51,83,4.644,0.45,0.32,34.314,121.223,255.451,4.5,2.463,3.9,4.0,4.0,4.0,224.0,230.0,0.69,0.66,47.0,71.0,60,67.62,84.28,76.44,8.0,8.1,98.578,98.485,90.5,86,0.05,0.07,0.05,0.05,119.9916086,1.145833333,32.08333333,963.2291667,9233,79.97841977,11,2.590625,2.261774023,7.0,6.752450911333853,0.120423212,6.8,0.0,6.194248504,0.091235689,1.760953889,73.26539951,79,64,203.3790919,221,185,0.43,7.896774194,6.01483871,90.5,86.0,0.05,0.07,0.05,0.05,0.08695652173913043,1.663202962249877,102.7
